R1	R2	R3	P1	P2	P3	P4	P5	A	B	C	D	E	Distr	Type	T_min	T_max	Formula	Number	n3	n4	comment	enthalpy	C_kjmol	enthalpy-C_kjmol
C+	C10H2		CH2	C10+				2.4e-09	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	4422	1	1		216.97490195724376	0.0	216.97490195724376
C	C10H2		C5H	C6H				4e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	4436	1	2		96.44727725694403	0.0	96.44727725694403
C	C10H2		CCH	C9H				4e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	4438	1	2		84.77595743276042	0.0	84.77595743276042
C	C10H2		c-C3H	C8H				2e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	4439	1	2		105.7278165987159	0.0	105.7278165987159
C	C10H2		C8H	l-C3H				2e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	4440	1	2		113.86253514342825	0.0	113.86253514342825
C	C10H2		C4H	C7H				4e-11	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	4441	1	2		97.64174857279866	0.0	97.64174857279866
O	C2H2		OH	CCH				1e-18	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	4498	1	8		130.1706090939708	0.0	130.1706090939708
O	C2H4		OH	C2H3				1e-18	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	4500	1	8		35.6168294537206	0.0	35.6168294537206
OH	C2H2		CCH	H2O				1.05e-13	2.68	6060.0	2.0	0.0	logn	4	10.0	800.0	3	4511	1	1		62.78007598877612	50.3853246	12.394751388776122
H2O	C2H2+		CCH	H3O+				2.2e-10	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	4526	1	1		85.77740985069929	0.0	85.77740985069929
C	C6N		C3N	C4				6e-11	0.0	0.0	3.0	0.0	logn	4	10.0	300.0	3	4555	1	2		18.73612078208949	0.0	18.73612078208949
H2	C6N+		C5	HCNH+				3e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	4599	1	2		79.75058700651226	0.0	79.75058700651226
H2	C8N+		C7	HCNH+				3e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	4602	1	2		154.38938314720377	0.0	154.38938314720377
H2	C10N+		HNC	C9H+				3e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	4604	1	2		11.706356861572141	0.0	11.706356861572141
H2	C10N+		C9	HCNH+				3e-10	0.0	0.0	2.0	0.0	logn	4	10.0	300.0	3	4605	1	2		209.09661575440504	0.0	209.09661575440504
H2	HC6N+		H	H2C6N+				1.0	1.49e-09	0.0	2.0	0.0	logn	4	10.0	300.0	5	4635	1	2		45.42616265165981	0.0	45.42616265165981
H2	HC8N+		H	H2C8N+				1.0	1.49e-09	0.0	2.0	0.0	logn	4	10.0	300.0	5	4636	1	2		63.68796056803282	0.0	63.68796056803282
H2	HC10N+		H	H2C10N+				1.0	1.49e-09	0.0	2.0	0.0	logn	4	10.0	300.0	5	4637	1	2		76.58901217552177	0.0	76.58901217552177
C7	C+		C2	C6+				5e-11	0.0	0.0	10.0	0.0	logn	4	10.0	300.0	3	4649	1	2		197.08258177542112	0.0	197.08258177542112
C9	C+		C4	C6+				5e-11	0.0	0.0	10.0	0.0	logn	4	10.0	300.0	3	4656	1	2		196.479696040969	0.0	196.479696040969
H2	S+		H	HS+				2.2e-10	0.0	9860.0	2.0	0.0	logn	4	10.0	800.0	3	4728	1	1		98.35921349893704	81.98008259999999	16.37913089893705
H2	H2S+		H	H3S+				1.4e-11	0.0	2300.0	2.0	0.0	logn	4	10.0	800.0	3	4730	1	1		39.23032349478073	19.123143	20.107180494780728
O2	Si+		O	SiO+				1e-13	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	4746	1	1		39.42474729826357	0.0	39.42474729826357
H2O	SiH+		Si	H3O+				8e-10	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	4747	1	1		156.34896486663735	0.0	156.34896486663735
H2O	C5H3+		C5H2	H3O+				1.11e-09	-0.5	0.0	2.0	0.0	logn	4	10.0	800.0	3	4768	1	1		265.92628985869436	0.0	265.92628985869436
H2O	C6H3+		C6H2	H3O+				1.11e-09	-0.5	0.0	2.0	0.0	logn	4	10.0	800.0	3	4769	1	1		84.00488215564636	0.0	84.00488215564636
H2O	C7H3+		C7H2	H3O+				1.11e-09	-0.5	0.0	2.0	0.0	logn	4	10.0	800.0	3	4770	1	1		311.78857986221186	0.0	311.78857986221186
H2O	C8H3+		C8H2	H3O+				1.11e-09	-0.5	0.0	2.0	0.0	logn	4	10.0	800.0	3	4771	1	1		109.7344690556296	0.0	109.7344690556296
H2O	C9H3+		C9H2	H3O+				1.11e-09	-0.5	0.0	2.0	0.0	logn	4	10.0	800.0	3	4772	1	1		346.213403344811	0.0	346.213403344811
H2O	C10H3+		H3O+	C10H2				1.11e-09	-0.5	0.0	2.0	0.0	logn	4	10.0	800.0	3	4773	1	1		126.30478846802053	0.0	126.30478846802053
HCN	C5H3+		C5H2	HCNH+				2.9e-09	-0.5	0.0	2.0	0.0	logn	4	10.0	800.0	3	4774	1	1		243.65694681582545	0.0	243.65694681582545
HCN	C6H3+		C6H2	HCNH+				2.9e-09	-0.5	0.0	2.0	0.0	logn	4	10.0	800.0	3	4775	1	1		61.73553911277746	0.0	61.73553911277746
HCN	C7H3+		C7H2	HCNH+				2.9e-09	-0.5	0.0	2.0	0.0	logn	4	10.0	800.0	3	4776	1	1		289.51923681934295	0.0	289.51923681934295
HCN	C8H3+		C8H2	HCNH+				2.9e-09	-0.5	0.0	2.0	0.0	logn	4	10.0	800.0	3	4777	1	1		87.46512601276069	0.0	87.46512601276069
HCN	C9H3+		C9H2	HCNH+				2.9e-09	-0.5	0.0	2.0	0.0	logn	4	10.0	800.0	3	4778	1	1		323.9440603017929	0.0	323.9440603017929
HCN	C10H3+		HCNH+	C10H2				2.9e-09	-0.5	0.0	2.0	0.0	logn	4	10.0	800.0	3	4779	1	1		104.03544542515162	0.0	104.03544542515162
H	l-C3H3+		H2	l-C3H2+				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	4785	1	1		146.07275472074713	0.0	146.07275472074713
H	c-C3H3+		H2	c-C3H2+				1e-10	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	4786	1	1		84.4892058145684	0.0	84.4892058145684
H2	C4H2+		H	C4H3+				1e-09	0.0	2000.0	2.0	0.0	logn	4	10.0	800.0	3	4787	1	1		44.390875412950145	16.628819999999997	27.762055412950147
H2	C6H2+		H	C6H3+				1e-09	0.0	2000.0	2.0	0.0	logn	4	10.0	800.0	3	4789	1	1		64.08044659281445	16.628819999999997	47.451626592814456
H2	C8H2+		H	C8H3+				1e-09	0.0	2000.0	2.0	0.0	logn	4	10.0	800.0	3	4791	1	1		79.32003122877751	16.628819999999997	62.69121122877751
H2	C10H2+		H	C10H3+				1e-09	0.0	2000.0	2.0	0.0	logn	4	10.0	800.0	3	4793	1	1		91.12304614269644	16.628819999999997	74.49422614269645
H	C5H3+		H2	C5H2+				7e-10	0.0	700.0	2.0	0.0	logn	4	10.0	800.0	3	4795	1	1		112.7247276354506	5.820087	106.9046406354506
H	C7H3+		H2	C7H2+				7e-10	0.0	700.0	2.0	0.0	logn	4	10.0	800.0	3	4797	1	1		100.86660347226984	5.820087	95.04651647226984
H	C9H3+		H2	C9H2+				7e-10	0.0	700.0	2.0	0.0	logn	4	10.0	800.0	3	4799	1	1		95.93089939125174	5.820087	90.11081239125174
Na	NH4+		H	NH3	Na+			1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	4812	1	1		12.376437285319216	0.0	12.376437285319216
Mg	H3O+		H	H2O	Mg+			1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	4813	1	1		97.22562516971014	0.0	97.22562516971014
Mg	NH4+		H	NH3	Mg+			1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	4814	1	1		260.58568901336446	0.0	260.58568901336446
Mg	HCNH+		H	HCN	Mg+			1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	4815	1	1		119.49496821257905	0.0	119.49496821257905
Mg	HCNH+		H	HNC	Mg+			1e-09	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	4816	1	1		179.3408744448291	0.0	179.3408744448291
N2O	HCO+		CO	HN2O+				3.5e-10	0.0	0.0	2.0	0.0	logn	4	10.0	800.0	3	4821	1	1		30.931254151216674	0.0	30.931254151216674
S	CN		C	NS				5.71e-11	0.5	32000.0	2.0	0.0	logn	4	10.0	800.0	3	4845	1	1		278.3478936239509	266.06111999999996	12.286773623950921
S	CN		N	CS				1.73e-11	0.5	0.0	2.0	0.0	logn	4	10.0	800.0	3	4846	1	1		27.74613120902676	0.0	27.74613120902676
S	NO		O	NS				2.94e-11	0.5	17500.0	2.0	0.0	logn	4	10.0	800.0	3	4881	1	1		166.65055335982066	145.502175	21.14837835982067
H2	C3		H	l-C3H				8e-12	0.0	1420.0	2.0	0.0	logn	4	10.0	800.0	3	4911	1	1		126.91428494927827	11.806462199999999	115.10782274927827
H2	C3		H	c-C3H				8e-12	0.0	1420.0	2.0	0.0	logn	4	10.0	800.0	3	4912	1	1		118.77956640460324	11.806462199999999	106.97310420460325
H2	l-C3H		H	l-C3H2				1.14e-11	0.0	950.0	2.0	0.0	logn	4	10.0	800.0	3	4914	1	1		47.217200123292415	7.8986895	39.31851062329241
H2	C5		H	C5H				1.6e-10	0.0	1420.0	2.0	0.0	logn	4	10.0	800.0	3	4916	1	1		81.30858508025143	11.806462199999999	69.50212288025143
H2	C5H		H	C5H2				1.14e-11	0.0	950.0	2.0	0.0	logn	4	10.0	800.0	3	4917	1	1		79.6324657525349	7.8986895	71.7337762525349
H2	C7		H	C7H				1.6e-10	0.0	1420.0	2.0	0.0	logn	4	10.0	800.0	3	4919	1	1		47.407916457594105	11.806462199999999	35.601454257594106
H2	C7H		H	C7H2				1.14e-11	0.0	950.0	2.0	0.0	logn	4	10.0	800.0	3	4920	1	1		102.8494227060216	7.8986895	94.9507332060216
H2	C9H		H	C9H2				1.14e-11	0.0	950.0	2.0	0.0	logn	4	10.0	800.0	3	4924	1	1		121.27744103998617	7.8986895	113.37875153998617
H	C4H2		CCH	C2H2				9.96e-10	0.0	7750.0	2.0	0.0	logn	4	10.0	800.0	3	4929	1	1		118.01136106152421	64.4366775	53.57468356152421
H	C5H2		CCH	l-C3H2				4.98e-10	0.0	7750.0	2.0	0.0	logn	4	10.0	800.0	3	4931	1	1		116.16851196919114	64.4366775	51.73183446919114
H	C6H2		CCH	C4H2				9.96e-10	0.0	7750.0	2.0	0.0	logn	4	10.0	800.0	3	4934	1	1		124.55519976814485	64.4366775	60.118522268144844
H	C7H2		CCH	C5H2				9.96e-10	0.0	7750.0	2.0	0.0	logn	4	10.0	800.0	3	4936	1	1		112.48889969402575	64.4366775	48.052222194025745
H	C8H2		CCH	C6H2				9.96e-10	0.0	7750.0	2.0	0.0	logn	4	10.0	800.0	3	4937	1	1		126.60316868904252	64.4366775	62.16649118904252
H	C9H2		CCH	C7H2				9.96e-10	0.0	7750.0	2.0	0.0	logn	4	10.0	800.0	3	4939	1	1		113.22847684508743	64.4366775	48.791799345087426
H2	C4H2		H	C4H3				4.91e-10	-0.16	27900.0	2.0	0.0	logn	4	10.0	800.0	3	4947	1	1		246.17999448441546	231.972039	14.207955484415464
O2	C2H2		CCH	O2H				2.01e-11	0.0	37400.0	2.0	0.0	logn	4	10.0	800.0	3	4962	1	1		347.76768108456156	310.958934	36.80874708456156
O2	C4H2		O2H	C4H				2.01e-11	0.0	37400.0	2.0	0.0	logn	4	10.0	800.0	3	4965	1	1		346.98833810714666	310.958934	36.02940410714666
O2	C6H2		O2H	C6H				2.01e-11	0.0	37400.0	2.0	0.0	logn	4	10.0	800.0	3	4967	1	1		334.6432099118498	310.958934	23.684275911849795
O2	C8H2		O2H	C8H				2.01e-11	0.0	37400.0	2.0	0.0	logn	4	10.0	800.0	3	4969	1	1		330.07785888898024	310.958934	19.118924888980246
O2	C10H2		O2H	C10H				2.01e-11	0.0	37400.0	2.0	0.0	logn	4	10.0	800.0	3	4971	1	1		327.8555042445851	310.958934	16.89657024458512
H	C10H2		CCH	C8H2				9.96e-10	0.0	7750.0	2.0	0.0	logn	4	10.0	800.0	3	4973	1	1		127.13467494955566	64.4366775	62.69799744955566
H2	c-C3H2		H	CH2CCH				3.74e-12	2.0	1740.0	2.0	0.0	logn	4	10.0	800.0	3	4991	1	1		72.8821997183471	14.467073399999999	58.4151263183471
H	HC4N		CH2	C3N				1.48e-10	0.0	3590.0	2.0	0.0	logn	4	10.0	800.0	3	4995	1	1		229.3658766372259	29.848731899999997	199.51714473722592
H	HC6N		CH2	C5N				1.48e-10	0.0	3590.0	2.0	0.0	logn	4	10.0	800.0	3	4997	1	1		258.00688070904096	29.848731899999997	228.15814880904097
H	HC8N		CH2	C7N				1.48e-10	0.0	3590.0	2.0	0.0	logn	4	10.0	800.0	3	4999	1	1		262.8124387450289	29.848731899999997	232.9637068450289
H	O+		O	H+				7e-10	0.0	0.0	1.5	0.0	logn	5	10.0	300.0	3	5198	1	1		17.24469751706674	0.0	17.24469751706674
SiS	S+		S	SiS+				1.0	1.4e-09	2.14	2.0	0.0	logn	5	10.0	344.0	4	5246	1	1		25.541023475725197	0.0177928374	25.5232306383252
SiS	S+		S	SiS+				1.0	1.4e-09	2.14	2.0	0.0	logn	5	344.0	800.0	5	5246	2	1		25.541023475725197	0.0177928374	25.5232306383252
CO	CN+		CN	CO+				1.0	8.9e-10	0.251	2.0	0.0	logn	5	10.0	800.0	5	5264	1	1		24.679384194475944	0.0020869169099999997	24.677297277565945
NO	C3H+		c-C3H	NO+				0.25	7.48e-10	0.411	2.0	0.0	logn	5	10.0	13.0	4	5404	1	1		10.92641290736823	0.0034172225099999994	10.922995684858229
NO	C3H+		c-C3H	NO+				0.25	7.48e-10	0.411	2.0	0.0	logn	5	13.0	800.0	5	5404	2	1		10.92641290736823	0.0034172225099999994	10.922995684858229
NH3	C3H+		c-C3H	NH3+				0.167	9.93e-10	3.65	2.0	0.0	logn	5	10.0	800.0	4	5405	1	1		96.04141168308088	0.030347596499999997	96.01106408658089
H2S	S+		S	H2S+				0.0498	1.09e-09	1.77	2.0	0.0	logn	5	10.0	234.0	4	5556	1	1		20.043226056777016	0.014716505699999998	20.028509551077015
H2S	S+		S	H2S+				0.0498	1.09e-09	1.77	2.0	0.0	logn	5	234.0	800.0	5	5556	2	1		20.043226056777016	0.014716505699999998	20.028509551077015
C6	C+		C	C6+				5e-11	0.0	0.0	10.0	0.0	logn	5	10.0	300.0	3	6079	1	2		118.8449941321454	0.0	118.8449941321454
C8	C+		C	C8+				4e-11	0.0	0.0	10.0	0.0	logn	5	10.0	300.0	3	6080	1	2		16.833704341364427	0.0	16.833704341364427
H	C+		C	H+				9.28e-19	1.3	15900.0	2.0	0.0	logn	5	10.0	800.0	3	6091	1	1		233.2078445938164	132.199119	101.0087255938164
H	S+		S	H+				5.75e-16	1.2	27200.0	2.0	0.0	logn	5	10.0	800.0	3	6093	1	1		332.839911354444	226.151952	106.68795935444399
N	H+		H	N+				9.82e-12	-0.23	262.0	2.0	0.0	logn	5	10.0	800.0	3	6095	1	1		84.22716225357617	2.17837542	82.04878683357617
CH2	C4H2		CH3	C4H				2.16e-11	0.0	2160.0	1.25	100.0	logn	4	10.0	400.0	3	6960	1	1		94.78284665615226	17.9591256	76.82372105615227
CH3	C2H5		C3H7	H				1e-10	0.0	0.0	2.51	100.0	logn	4	10.0	400.0	3	6966	1	1		55.159026056290614	0.0	55.159026056290614
CH3	CH3CCH		CCH	C2H6				8.32e-13	0.0	4430.0	2.0	100.0	logn	4	10.0	400.0	3	6968	1	1		154.5305933124462	36.8328363	117.6977570124462
CH3	C4H3		CCH	C3H5				1.2e-10	0.0	0.0	10.0	100.0	logn	4	10.0	400.0	3	6977	1	1		100.07642216743602	0.0	100.07642216743602
CCH	CH3CHCH2		CH	CH2CHCHCH2				2e-11	0.0	0.0	2.5	100.0	logn	4	10.0	400.0	3	6990	1	1		106.35146216346533	0.0	106.35146216346533
C2H2	C2H5		CCH	C2H6				4.5e-13	0.0	11800.0	5.0	100.0	logn	4	10.0	400.0	3	7016	1	1		134.45079141235087	98.11003799999999	36.34075341235088
CH4	l-C3H2		CH3	CH2CCH				5.9e-11	0.0	0.0	10.0	100.0	logn	4	10.0	400.0	3	7029	1	1		18.37102660096887	0.0	18.37102660096887
l-C3H2	C3H8		C2H5	C4H5				1.6e-10	0.0	0.0	10.0	100.0	logn	4	10.0	400.0	3	7036	1	1		34.87076206577676	0.0	34.87076206577676
CH4	C4H3		CH3	CH2CHC2H				5.9e-11	0.0	0.0	10.0	100.0	logn	4	10.0	400.0	3	7073	1	1		14.076417158812811	0.0	14.076417158812811
NH2	C2H2		CCH	NH3				1.11e-13	0.0	1850.0	5.0	250.0	logn	4	10.0	400.0	3	7086	1	1		111.13258729464123	15.381658499999999	95.75092879464123
C2H3+	CO		C2H3CO+					2e-15	-2.5	0.0	10.0	0.0	logn	4	10.0	300.0	3	7144	1	1	2016/6/06 Urso from Loison et al. 2016	12.174208132350213	0.0	12.174208132350213
c-C3H2O	H3O+		C2H3CO+	H2O				0.5	1.4e-09	6.3	3.0	0.0	logn	4	10.0	300.0	4	7153	1	1	2016/6/06 Urso from Loison et al. 2016	15.544292312561517	0.05238078299999999	15.491911529561516
H2CCCO	H3O+		C2H3CO+	H2O				1.0	1.4e-09	3.8	3.0	0.0	logn	4	10.0	300.0	4	7156	1	1	2016/6/06 Urso from Loison et al. 2016	48.3836024791383	0.031594757999999994	48.3520077211383
